0	0	0	0	0	480	
1	0	0	0	0	542	
2	0	0	0	0	479	
3	0	0	0	0	543	
4	0	0	0	0	480	
5	0	0	0	0	544	
6	0	0	0	0	479	
7	0	0	0	0	541	
8	0	0	0	0	482	
9	0	0	0	0	539	
10	0	0	0	0	477	
11	0	0	0	0	542	
12	0	0	0	0	480	
13	0	0	0	0	542	
14	0	0	0	0	478	
15	0	0	0	0	542	
0	0	0	0	0	479	
1	0	0	0	0	541	
2	0	0	0	0	479	
3	0	0	0	0	542	
4	0	0	0	0	479	
5	0	0	0	0	542	
6	0	0	0	0	478	
7	0	0	0	0	543	
8	0	0	0	0	482	
9	0	0	0	0	538	
10	0	0	0	0	478	
11	0	0	0	0	542	
12	0	0	0	0	481	
13	0	0	0	0	539	
14	0	0	0	0	481	
15	0	0	0	0	541	
0	0	0	0	0	483	
1	0	0	0	0	540	
2	0	0	0	0	483	
3	0	0	0	0	536	
4	0	0	0	0	481	
5	0	0	0	0	538	
6	0	0	0	0	482	
7	0	0	0	0	538	
8	0	0	0	0	481	
9	0	0	0	0	539	
10	0	0	0	0	478	
11	0	0	0	0	543	
12	0	0	0	0	477	
13	0	0	0	0	541	
14	0	0	0	0	477	
15	0	0	0	0	541	
0	0	0	0	0	479	
1	0	0	0	0	541	
2	0	0	0	0	478	
3	0	0	0	0	541	
4	0	0	0	0	476	
5	0	0	0	0	544	
6	0	0	0	0	479	
7	0	0	0	0	539	
8	0	0	0	0	478	
9	0	0	0	0	544	
10	0	0	0	0	481	
11	0	0	0	0	548	
12	0	0	0	0	479	
13	0	0	0	0	543	
14	0	0	0	0	481	
15	0	0	0	0	541	
0	0	0	0	0	481	
1	0	0	0	0	536	
2	0	0	0	0	480	
3	0	0	0	0	537	
4	0	0	0	0	485	
5	0	0	0	0	541	
6	0	0	0	0	479	
7	0	0	0	0	543	
8	0	0	0	0	478	
9	0	0	0	0	540	
10	0	0	0	0	484	
11	0	0	0	0	540	
12	0	0	0	0	484	
