nSeq;I1;I2;O1;O2;A5;A6
2;0;0;0;0;837;75
3;0;0;0;0;743;61
4;0;0;0;0;568;43
5;0;0;0;0;458;30
6;0;0;0;0;466;25
7;0;0;0;0;416;24
8;0;0;0;0;355;23
9;0;0;0;0;329;23
10;0;0;0;0;299;23
11;0;0;0;0;262;23
12;0;0;0;0;236;24
13;0;0;0;0;236;24
14;0;0;0;0;255;25
15;0;0;0;0;282;26
0;0;0;0;0;306;26
1;0;0;0;0;307;27
2;0;0;0;0;327;27
3;0;0;0;0;348;27
4;0;0;0;0;350;28
5;0;0;0;0;351;28
6;0;0;0;0;384;28
7;0;0;0;0;410;28
8;0;0;0;0;416;28
9;0;0;0;0;428;28
10;0;0;0;0;431;28
11;0;0;0;0;420;28
12;0;0;0;0;405;27
13;0;0;0;0;415;27
14;0;0;0;0;434;27
15;0;0;0;0;440;26
0;0;0;0;0;439;26
1;0;0;0;0;443;25
2;0;0;0;0;436;24
3;0;0;0;0;413;24
4;0;0;0;0;401;23
5;0;0;0;0;415;23
6;0;0;0;0;440;24
7;0;0;0;0;458;24
8;0;0;0;0;468;24
9;0;0;0;0;481;24
10;0;0;0;0;489;24
11;0;0;0;0;475;24
12;0;0;0;0;447;24
13;0;0;0;0;438;24
14;0;0;0;0;451;24
15;0;0;0;0;472;23
0;0;0;0;0;480;23
1;0;0;0;0;479;23
2;0;0;0;0;477;23
3;0;0;0;0;477;23
4;0;0;0;0;479;23
5;0;0;0;0;489;23
6;0;0;0;0;499;23
7;0;0;0;0;502;23
8;0;0;0;0;506;23
9;0;0;0;0;515;24
10;0;0;0;0;528;25
11;0;0;0;0;532;25
12;0;0;0;0;534;27
13;0;0;0;0;542;29
14;0;0;0;0;554;33
15;0;0;0;0;565;38
0;0;0;0;0;576;43
1;0;0;0;0;590;49
2;0;0;0;0;601;54
3;0;0;0;0;609;59
4;0;0;0;0;614;62
5;0;0;0;0;611;65
6;0;0;0;0;599;67
7;0;0;0;0;587;69
8;0;0;0;0;591;70
9;0;0;0;0;608;72
10;0;0;0;0;619;73
11;0;0;0;0;615;73
12;0;0;0;0;611;74
13;0;0;0;0;620;74
14;0;0;0;0;620;75
15;0;0;0;0;600;75
0;0;0;0;0;587;75
1;0;0;0;0;591;75
2;0;0;0;0;595;75
3;0;0;0;0;583;75
4;0;0;0;0;579;75
5;0;0;0;0;591;76
6;0;0;0;0;604;76
7;0;0;0;0;608;77
8;0;0;0;0;609;77
9;0;0;0;0;611;77
10;0;0;0;0;613;78
11;0;0;0;0;614;78
12;0;0;0;0;624;79
13;0;0;0;0;647;79
14;0;0;0;0;668;80
15;0;0;0;0;674;80
0;0;0;0;0;683;81
1;0;0;0;0;702;82
2;0;0;0;0;710;82
3;0;0;0;0;697;83
4;0;0;0;0;691;83
5;0;0;0;0;692;83
6;0;0;0;0;686;83
7;0;0;0;0;677;84
8;0;0;0;0;686;85
9;0;0;0;0;716;85
10;0;0;0;0;737;86
11;0;0;0;0;737;87
12;0;0;0;0;730;87
13;0;0;0;0;729;87
14;0;0;0;0;720;87
15;0;0;0;0;702;87
0;0;0;0;0;708;87
1;0;0;0;0;728;87
2;0;0;0;0;750;87
3;0;0;0;0;783;85
4;0;0;0;0;811;83
5;0;0;0;0;835;80
6;0;0;0;0;845;74
7;0;0;0;0;828;64
8;0;0;0;0;801;50
9;0;0;0;0;752;36
10;0;0;0;0;647;28
11;0;0;0;0;504;25
12;0;0;0;0;412;25
13;0;0;0;0;408;25
14;0;0;0;0;409;25
15;0;0;0;0;424;26
0;0;0;0;0;435;27
1;0;0;0;0;383;27
2;0;0;0;0;329;27
3;0;0;0;0;306;27
4;0;0;0;0;302;28
5;0;0;0;0;296;28
6;0;0;0;0;295;29
7;0;0;0;0;308;29
8;0;0;0;0;335;30
9;0;0;0;0;374;30
10;0;0;0;0;387;30
11;0;0;0;0;380;31
12;0;0;0;0;384;31
13;0;0;0;0;414;31
14;0;0;0;0;433;31
15;0;0;0;0;432;31
0;0;0;0;0;428;31
1;0;0;0;0;437;31
2;0;0;0;0;441;31
3;0;0;0;0;435;31
4;0;0;0;0;436;31
5;0;0;0;0;458;31
6;0;0;0;0;454;31
7;0;0;0;0;440;30
8;0;0;0;0;436;30
9;0;0;0;0;438;29
10;0;0;0;0;446;29
11;0;0;0;0;458;29
12;0;0;0;0;467;29
13;0;0;0;0;485;29
14;0;0;0;0;505;29
15;0;0;0;0;512;29
0;0;0;0;0;512;29
1;0;0;0;0;514;29
2;0;0;0;0;497;28
3;0;0;0;0;470;28
4;0;0;0;0;465;28
5;0;0;0;0;485;28
6;0;0;0;0;507;28
7;0;0;0;0;514;28
8;0;0;0;0;521;28
9;0;0;0;0;524;28
10;0;0;0;0;528;28
11;0;0;0;0;524;27
12;0;0;0;0;527;27
13;0;0;0;0;541;27
14;0;0;0;0;535;27
15;0;0;0;0;520;27
0;0;0;0;0;512;27
1;0;0;0;0;520;26
2;0;0;0;0;523;27
3;0;0;0;0;513;26
4;0;0;0;0;512;26
5;0;0;0;0;524;26
6;0;0;0;0;535;26
7;0;0;0;0;535;26
8;0;0;0;0;528;26
9;0;0;0;0;538;26
10;0;0;0;0;548;27
11;0;0;0;0;548;27
12;0;0;0;0;544;27
13;0;0;0;0;548;27
14;0;0;0;0;549;27
15;0;0;0;0;543;27
0;0;0;0;0;542;28
1;0;0;0;0;561;28
2;0;0;0;0;584;29
3;0;0;0;0;594;29
4;0;0;0;0;594;30
5;0;0;0;0;598;31
6;0;0;0;0;599;32
7;0;0;0;0;590;33
8;0;0;0;0;578;34
9;0;0;0;0;575;34
10;0;0;0;0;578;35
11;0;0;0;0;580;36
12;0;0;0;0;588;38
13;0;0;0;0;604;39
14;0;0;0;0;605;39
15;0;0;0;0;597;40
0;0;0;0;0;586;40
1;0;0;0;0;585;41
2;0;0;0;0;582;41
3;0;0;0;0;582;42
4;0;0;0;0;582;42
5;0;0;0;0;587;42
6;0;0;0;0;585;42
7;0;0;0;0;575;43
8;0;0;0;0;571;43
9;0;0;0;0;570;42
10;0;0;0;0;572;43
11;0;0;0;0;571;43
12;0;0;0;0;570;44
13;0;0;0;0;601;45
14;0;0;0;0;613;45
15;0;0;0;0;609;46
0;0;0;0;0;598;46
1;0;0;0;0;593;46
2;0;0;0;0;589;47
3;0;0;0;0;588;47
4;0;0;0;0;589;47
5;0;0;0;0;606;47
6;0;0;0;0;628;48
7;0;0;0;0;630;48
8;0;0;0;0;609;49
9;0;0;0;0;609;50
10;0;0;0;0;594;50
11;0;0;0;0;615;50
12;0;0;0;0;594;50
13;0;0;0;0;582;50
14;0;0;0;0;609;51
15;0;0;0;0;615;50
0;0;0;0;0;614;51
1;0;0;0;0;627;51
2;0;0;0;0;636;51
3;0;0;0;0;631;51
4;0;0;0;0;617;51
5;0;0;0;0;607;51
6;0;0;0;0;598;51
7;0;0;0;0;592;51
8;0;0;0;0;596;51
9;0;0;0;0;614;52
10;0;0;0;0;632;51
11;0;0;0;0;633;51
12;0;0;0;0;631;52
13;0;0;0;0;631;52
14;0;0;0;0;629;52
15;0;0;0;0;624;51
0;0;0;0;0;615;51
1;0;0;0;0;615;51
2;0;0;0;0;612;51
3;0;0;0;0;600;51
4;0;0;0;0;586;51
5;0;0;0;0;589;50
6;0;0;0;0;603;51
7;0;0;0;0;611;51
8;0;0;0;0;615;51
9;0;0;0;0;623;51
10;0;0;0;0;627;51
11;0;0;0;0;620;51
12;0;0;0;0;609;51
13;0;0;0;0;604;51
14;0;0;0;0;597;51
15;0;0;0;0;559;51
0;0;0;0;0;598;51
1;0;0;0;0;616;52
2;0;0;0;0;627;52
3;0;0;0;0;636;53
4;0;0;0;0;622;53
5;0;0;0;0;619;54
6;0;0;0;0;614;54
7;0;0;0;0;620;54
8;0;0;0;0;622;55
9;0;0;0;0;623;55
10;0;0;0;0;620;56
11;0;0;0;0;611;56
12;0;0;0;0;606;57
13;0;0;0;0;616;57
