nSeq;I1;I2;O1;O2;A5;A6
1;0;0;0;0;606;56
2;0;0;0;0;631;56
3;0;0;0;0;629;56
4;0;0;0;0;612;58
5;0;0;0;0;620;57
6;0;0;0;0;631;58
7;0;0;0;0;624;58
8;0;0;0;0;616;59
9;0;0;0;0;622;59
10;0;0;0;0;626;60
11;0;0;0;0;622;61
12;0;0;0;0;615;62
13;0;0;0;0;619;63
14;0;0;0;0;623;64
15;0;0;0;0;618;65
0;0;0;0;0;620;66
1;0;0;0;0;634;66
2;0;0;0;0;648;67
3;0;0;0;0;650;67
4;0;0;0;0;646;68
5;0;0;0;0;649;68
6;0;0;0;0;651;68
7;0;0;0;0;609;67
8;0;0;0;0;598;67
9;0;0;0;0;637;68
10;0;0;0;0;612;69
11;0;0;0;0;640;69
12;0;0;0;0;640;70
13;0;0;0;0;666;71
14;0;0;0;0;647;71
15;0;0;0;0;647;71
0;0;0;0;0;651;71
1;0;0;0;0;664;71
2;0;0;0;0;643;71
3;0;0;0;0;620;71
4;0;0;0;0;615;70
5;0;0;0;0;615;69
6;0;0;0;0;620;69
7;0;0;0;0;600;68
8;0;0;0;0;602;68
9;0;0;0;0;596;67
10;0;0;0;0;593;67
11;0;0;0;0;595;67
12;0;0;0;0;596;67
13;0;0;0;0;595;67
14;0;0;0;0;608;67
15;0;0;0;0;601;68
0;0;0;0;0;583;69
1;0;0;0;0;598;69
2;0;0;0;0;636;70
3;0;0;0;0;658;71
4;0;0;0;0;640;71
5;0;0;0;0;638;71
6;0;0;0;0;639;71
7;0;0;0;0;632;71
8;0;0;0;0;615;71
9;0;0;0;0;605;70
10;0;0;0;0;602;70
11;0;0;0;0;598;70
12;0;0;0;0;574;70
13;0;0;0;0;539;70
14;0;0;0;0;649;71
15;0;0;0;0;599;70
0;0;0;0;0;560;70
1;0;0;0;0;571;70
2;0;0;0;0;566;71
3;0;0;0;0;605;71
4;0;0;0;0;589;71
5;0;0;0;0;620;71
6;0;0;0;0;635;71
7;0;0;0;0;597;71
8;0;0;0;0;579;71
9;0;0;0;0;592;71
10;0;0;0;0;619;71
11;0;0;0;0;607;71
12;0;0;0;0;598;72
13;0;0;0;0;623;72
14;0;0;0;0;613;72
15;0;0;0;0;603;71
0;0;0;0;0;585;72
1;0;0;0;0;589;72
2;0;0;0;0;602;72
3;0;0;0;0;613;72
4;0;0;0;0;606;72
5;0;0;0;0;605;72
6;0;0;0;0;612;72
7;0;0;0;0;627;73
8;0;0;0;0;600;73
9;0;0;0;0;569;73
10;0;0;0;0;579;73
11;0;0;0;0;583;73
12;0;0;0;0;602;74
13;0;0;0;0;607;75
14;0;0;0;0;615;75
15;0;0;0;0;611;76
0;0;0;0;0;600;76
1;0;0;0;0;611;77
2;0;0;0;0;602;78
3;0;0;0;0;583;78
4;0;0;0;0;600;78
5;0;0;0;0;590;79
6;0;0;0;0;614;79
7;0;0;0;0;577;80
8;0;0;0;0;465;80
9;0;0;0;0;669;80
10;0;0;0;0;675;80
11;0;0;0;0;655;80
12;0;0;0;0;594;79
13;0;0;0;0;609;79
14;0;0;0;0;636;78
15;0;0;0;0;657;78
0;0;0;0;0;636;78
1;0;0;0;0;585;77
2;0;0;0;0;606;76
3;0;0;0;0;630;75
4;0;0;0;0;625;75
5;0;0;0;0;601;74
6;0;0;0;0;604;74
7;0;0;0;0;615;73
8;0;0;0;0;645;73
9;0;0;0;0;644;73
10;0;0;0;0;623;73
11;0;0;0;0;623;73
12;0;0;0;0;626;73
13;0;0;0;0;613;73
14;0;0;0;0;625;73
15;0;0;0;0;643;73
0;0;0;0;0;634;74
1;0;0;0;0;627;74
2;0;0;0;0;617;75
3;0;0;0;0;622;74
4;0;0;0;0;638;75
5;0;0;0;0;625;75
6;0;0;0;0;623;75
7;0;0;0;0;615;75
8;0;0;0;0;604;75
9;0;0;0;0;607;75
10;0;0;0;0;608;75
11;0;0;0;0;633;75
12;0;0;0;0;637;75
13;0;0;0;0;621;75
14;0;0;0;0;653;75
15;0;0;0;0;634;75
0;0;0;0;0;599;75
1;0;0;0;0;605;75
2;0;0;0;0;593;75
3;0;0;0;0;583;74
4;0;0;0;0;607;75
5;0;0;0;0;633;74
6;0;0;0;0;603;74
7;0;0;0;0;482;73
8;0;0;0;0;441;73
9;0;0;0;0;604;72
10;0;0;0;0;696;73
11;0;0;0;0;411;74
12;0;0;0;0;649;75
13;0;0;0;0;588;75
14;0;0;0;0;403;74
15;0;0;0;0;580;73
0;0;0;0;0;572;73
1;0;0;0;0;611;74
2;0;0;0;0;423;75
3;0;0;0;0;572;75
4;0;0;0;0;492;75
5;0;0;0;0;503;75
6;0;0;0;0;560;75
7;0;0;0;0;532;75
8;0;0;0;0;535;75
9;0;0;0;0;394;75
10;0;0;0;0;478;76
11;0;0;0;0;603;76
12;0;0;0;0;552;76
13;0;0;0;0;449;76
14;0;0;0;0;518;76
15;0;0;0;0;534;76
0;0;0;0;0;544;76
1;0;0;0;0;546;76
2;0;0;0;0;514;76
3;0;0;0;0;651;76
4;0;0;0;0;560;76
5;0;0;0;0;566;76
6;0;0;0;0;587;76
7;0;0;0;0;615;75
8;0;0;0;0;629;76
9;0;0;0;0;633;76
10;0;0;0;0;634;76
11;0;0;0;0;625;75
12;0;0;0;0;620;76
13;0;0;0;0;625;75
14;0;0;0;0;630;75
15;0;0;0;0;627;75
0;0;0;0;0;624;75
1;0;0;0;0;625;75
2;0;0;0;0;628;75
3;0;0;0;0;623;75
4;0;0;0;0;622;75
5;0;0;0;0;628;75
6;0;0;0;0;631;75
7;0;0;0;0;625;75
8;0;0;0;0;622;75
9;0;0;0;0;624;75
10;0;0;0;0;629;75
11;0;0;0;0;627;75
12;0;0;0;0;623;75
13;0;0;0;0;626;74
14;0;0;0;0;629;75
15;0;0;0;0;624;75
0;0;0;0;0;622;75
1;0;0;0;0;625;75
2;0;0;0;0;630;75
3;0;0;0;0;627;75
4;0;0;0;0;621;75
5;0;0;0;0;625;74
6;0;0;0;0;629;75
7;0;0;0;0;625;75
8;0;0;0;0;623;75
9;0;0;0;0;626;75
10;0;0;0;0;629;75
11;0;0;0;0;625;74
12;0;0;0;0;620;75
13;0;0;0;0;625;74
14;0;0;0;0;630;75
15;0;0;0;0;626;74
0;0;0;0;0;621;75
1;0;0;0;0;626;74
2;0;0;0;0;628;75
3;0;0;0;0;626;75
4;0;0;0;0;622;75
5;0;0;0;0;625;75
6;0;0;0;0;630;75
7;0;0;0;0;625;75
8;0;0;0;0;623;75
9;0;0;0;0;626;75
10;0;0;0;0;631;75
11;0;0;0;0;626;75
12;0;0;0;0;622;75
13;0;0;0;0;625;75
14;0;0;0;0;630;75
15;0;0;0;0;626;75
0;0;0;0;0;623;75
1;0;0;0;0;627;74
2;0;0;0;0;629;75
3;0;0;0;0;626;75
4;0;0;0;0;622;75
5;0;0;0;0;626;75
6;0;0;0;0;630;76
7;0;0;0;0;617;75
8;0;0;0;0;613;76
9;0;0;0;0;629;75
10;0;0;0;0;632;76
11;0;0;0;0;627;75
12;0;0;0;0;621;75
13;0;0;0;0;621;75
14;0;0;0;0;627;75
15;0;0;0;0;625;74
0;0;0;0;0;623;74
1;0;0;0;0;627;74
2;0;0;0;0;631;75
3;0;0;0;0;626;75
4;0;0;0;0;621;75
5;0;0;0;0;625;75
6;0;0;0;0;620;76
7;0;0;0;0;619;75
8;0;0;0;0;625;76
9;0;0;0;0;628;75
10;0;0;0;0;629;75
11;0;0;0;0;625;75
12;0;0;0;0;617;75
13;0;0;0;0;624;75
14;0;0;0;0;632;75
15;0;0;0;0;627;75
0;0;0;0;0;624;75
1;0;0;0;0;627;75
2;0;0;0;0;625;76
3;0;0;0;0;622;75
4;0;0;0;0;623;75
5;0;0;0;0;628;75
6;0;0;0;0;632;75
7;0;0;0;0;625;75
8;0;0;0;0;620;75
9;0;0;0;0;623;75
10;0;0;0;0;629;75
11;0;0;0;0;626;75
12;0;0;0;0;623;75
13;0;0;0;0;627;75
14;0;0;0;0;630;76
15;0;0;0;0;625;75
0;0;0;0;0;621;76
1;0;0;0;0;626;75
2;0;0;0;0;629;75
3;0;0;0;0;629;75
4;0;0;0;0;624;76
5;0;0;0;0;626;76
6;0;0;0;0;630;76
7;0;0;0;0;627;75
8;0;0;0;0;624;75
9;0;0;0;0;623;75
10;0;0;0;0;627;75
11;0;0;0;0;626;75
12;0;0;0;0;622;75
13;0;0;0;0;626;75
14;0;0;0;0;630;75
15;0;0;0;0;625;75
0;0;0;0;0;621;75
1;0;0;0;0;625;75
2;0;0;0;0;630;76
3;0;0;0;0;629;75
4;0;0;0;0;624;76
5;0;0;0;0;626;75
6;0;0;0;0;629;75
7;0;0;0;0;625;75
8;0;0;0;0;622;75
9;0;0;0;0;625;75
10;0;0;0;0;630;75
11;0;0;0;0;626;75
12;0;0;0;0;621;75
13;0;0;0;0;625;75
14;0;0;0;0;628;76
15;0;0;0;0;636;75
0;0;0;0;0;626;76
1;0;0;0;0;625;75
2;0;0;0;0;625;74
3;0;0;0;0;628;71
4;0;0;0;0;622;70
5;0;0;0;0;625;71
6;0;0;0;0;631;71
7;0;0;0;0;626;71
8;0;0;0;0;621;72
9;0;0;0;0;625;72
10;0;0;0;0;630;73
11;0;0;0;0;628;73
12;0;0;0;0;623;74
13;0;0;0;0;625;75
14;0;0;0;0;629;75
15;0;0;0;0;625;75
0;0;0;0;0;622;76
1;0;0;0;0;626;76
2;0;0;0;0;630;76
3;0;0;0;0;626;76
4;0;0;0;0;622;76
5;0;0;0;0;625;76
6;0;0;0;0;630;76
7;0;0;0;0;626;76
8;0;0;0;0;622;76
9;0;0;0;0;626;75
10;0;0;0;0;629;76
11;0;0;0;0;625;76
12;0;0;0;0;623;75
13;0;0;0;0;625;76
14;0;0;0;0;630;76
15;0;0;0;0;626;76
0;0;0;0;0;621;76
1;0;0;0;0;625;76
2;0;0;0;0;630;76
3;0;0;0;0;626;76
4;0;0;0;0;622;76
5;0;0;0;0;625;75
6;0;0;0;0;629;76
7;0;0;0;0;626;76
8;0;0;0;0;622;76
9;0;0;0;0;625;75
10;0;0;0;0;630;76
11;0;0;0;0;626;75
12;0;0;0;0;622;76
13;0;0;0;0;625;75
14;0;0;0;0;630;76
15;0;0;0;0;626;75
0;0;0;0;0;622;76
1;0;0;0;0;625;76
2;0;0;0;0;630;76
3;0;0;0;0;625;76
4;0;0;0;0;622;76
5;0;0;0;0;626;76
6;0;0;0;0;629;76
7;0;0;0;0;625;75
8;0;0;0;0;622;76
9;0;0;0;0;626;75
10;0;0;0;0;629;76
11;0;0;0;0;626;75
12;0;0;0;0;622;76
13;0;0;0;0;625;76
14;0;0;0;0;630;76
15;0;0;0;0;625;76
0;0;0;0;0;622;76
1;0;0;0;0;626;75
2;0;0;0;0;630;76
3;0;0;0;0;625;75
4;0;0;0;0;621;75
5;0;0;0;0;626;75
6;0;0;0;0;630;76
7;0;0;0;0;626;75
8;0;0;0;0;622;76
9;0;0;0;0;625;75
10;0;0;0;0;630;76
11;0;0;0;0;626;75
12;0;0;0;0;621;75
13;0;0;0;0;626;75
14;0;0;0;0;630;76
15;0;0;0;0;625;76
0;0;0;0;0;622;76
1;0;0;0;0;627;75
2;0;0;0;0;629;76
3;0;0;0;0;626;75
4;0;0;0;0;623;75
5;0;0;0;0;626;75
6;0;0;0;0;630;76
7;0;0;0;0;625;76
8;0;0;0;0;623;75
9;0;0;0;0;625;75
10;0;0;0;0;630;76
11;0;0;0;0;625;75
12;0;0;0;0;623;75
13;0;0;0;0;625;75
14;0;0;0;0;630;76
15;0;0;0;0;625;75
0;0;0;0;0;622;75
1;0;0;0;0;626;75
2;0;0;0;0;630;76
3;0;0;0;0;625;76
4;0;0;0;0;623;76
5;0;0;0;0;625;75
6;0;0;0;0;630;76
7;0;0;0;0;626;75
8;0;0;0;0;622;76
9;0;0;0;0;625;75
10;0;0;0;0;629;75
11;0;0;0;0;625;75
12;0;0;0;0;623;75
13;0;0;0;0;626;75
14;0;0;0;0;630;76
15;0;0;0;0;626;75
0;0;0;0;0;622;75
1;0;0;0;0;626;75
2;0;0;0;0;630;76
3;0;0;0;0;625;75
4;0;0;0;0;621;76
5;0;0;0;0;626;75
6;0;0;0;0;629;76
7;0;0;0;0;625;75
8;0;0;0;0;621;75
9;0;0;0;0;626;75
10;0;0;0;0;630;75
11;0;0;0;0;625;75
12;0;0;0;0;622;75
13;0;0;0;0;626;75
14;0;0;0;0;630;75
15;0;0;0;0;625;75
0;0;0;0;0;622;75
1;0;0;0;0;626;75
2;0;0;0;0;630;75
3;0;0;0;0;627;75
4;0;0;0;0;622;75
5;0;0;0;0;626;75
6;0;0;0;0;630;75
7;0;0;0;0;626;75
8;0;0;0;0;622;75
9;0;0;0;0;625;75
10;0;0;0;0;630;75
11;0;0;0;0;625;75
12;0;0;0;0;621;75
13;0;0;0;0;627;75
14;0;0;0;0;630;75
15;0;0;0;0;625;75
0;0;0;0;0;621;75
1;0;0;0;0;626;75
2;0;0;0;0;630;75
3;0;0;0;0;626;75
4;0;0;0;0;622;75
5;0;0;0;0;625;75
6;0;0;0;0;630;75
7;0;0;0;0;625;75
8;0;0;0;0;622;76
9;0;0;0;0;625;75
10;0;0;0;0;630;75
11;0;0;0;0;626;75
12;0;0;0;0;622;75
13;0;0;0;0;626;75
14;0;0;0;0;630;75
15;0;0;0;0;626;75
0;0;0;0;0;622;75
1;0;0;0;0;626;75
2;0;0;0;0;630;76
3;0;0;0;0;625;75
4;0;0;0;0;622;75
5;0;0;0;0;625;75
6;0;0;0;0;630;75
7;0;0;0;0;626;75
8;0;0;0;0;622;75
9;0;0;0;0;626;75
10;0;0;0;0;630;75
11;0;0;0;0;625;75
12;0;0;0;0;622;75
13;0;0;0;0;625;75
14;0;0;0;0;631;75
15;0;0;0;0;626;75
0;0;0;0;0;622;75
1;0;0;0;0;625;75
2;0;0;0;0;630;75
3;0;0;0;0;626;75
4;0;0;0;0;622;75
5;0;0;0;0;625;75
6;0;0;0;0;629;75
7;0;0;0;0;626;75
8;0;0;0;0;622;75
9;0;0;0;0;626;75
10;0;0;0;0;631;75
11;0;0;0;0;626;75
12;0;0;0;0;621;75
13;0;0;0;0;626;75
14;0;0;0;0;630;75
15;0;0;0;0;625;75
0;0;0;0;0;622;75
1;0;0;0;0;626;75
2;0;0;0;0;630;75
3;0;0;0;0;626;75
4;0;0;0;0;622;75
5;0;0;0;0;626;75
6;0;0;0;0;628;75
7;0;0;0;0;625;75
8;0;0;0;0;623;75
9;0;0;0;0;625;75
10;0;0;0;0;630;75
11;0;0;0;0;627;75
12;0;0;0;0;621;75
13;0;0;0;0;625;74
14;0;0;0;0;629;74
15;0;0;0;0;626;74
0;0;0;0;0;623;74
1;0;0;0;0;625;74
2;0;0;0;0;630;74
3;0;0;0;0;625;73
4;0;0;0;0;621;73
5;0;0;0;0;625;73
6;0;0;0;0;630;73
7;0;0;0;0;625;72
8;0;0;0;0;622;72
9;0;0;0;0;626;72
10;0;0;0;0;629;72
11;0;0;0;0;626;72
12;0;0;0;0;622;72
13;0;0;0;0;625;72
14;0;0;0;0;630;72
15;0;0;0;0;626;72
0;0;0;0;0;622;72
1;0;0;0;0;625;72
2;0;0;0;0;630;72
3;0;0;0;0;626;71
4;0;0;0;0;623;72
5;0;0;0;0;626;72
6;0;0;0;0;630;72
7;0;0;0;0;626;71
8;0;0;0;0;621;72
9;0;0;0;0;626;72
10;0;0;0;0;630;72
11;0;0;0;0;627;72
12;0;0;0;0;621;72
13;0;0;0;0;625;72
14;0;0;0;0;630;72
15;0;0;0;0;626;72
0;0;0;0;0;622;72
1;0;0;0;0;626;72
2;0;0;0;0;630;72
3;0;0;0;0;625;72
4;0;0;0;0;621;72
5;0;0;0;0;626;72
6;0;0;0;0;630;73
7;0;0;0;0;625;73
8;0;0;0;0;621;73
9;0;0;0;0;625;73
10;0;0;0;0;630;72
11;0;0;0;0;626;72
12;0;0;0;0;622;73
13;0;0;0;0;625;73
14;0;0;0;0;629;73
15;0;0;0;0;625;72
0;0;0;0;0;622;72
1;0;0;0;0;626;73
2;0;0;0;0;630;72
3;0;0;0;0;625;72
4;0;0;0;0;621;72
5;0;0;0;0;625;72
6;0;0;0;0;630;72
7;0;0;0;0;625;72
8;0;0;0;0;622;73
9;0;0;0;0;626;72
10;0;0;0;0;630;72
11;0;0;0;0;626;72
12;0;0;0;0;622;73
13;0;0;0;0;625;72
14;0;0;0;0;630;72
15;0;0;0;0;625;72
0;0;0;0;0;621;73
1;0;0;0;0;626;73
2;0;0;0;0;631;73
3;0;0;0;0;625;73
4;0;0;0;0;622;73
5;0;0;0;0;627;72
6;0;0;0;0;630;72
7;0;0;0;0;625;73
8;0;0;0;0;622;73
9;0;0;0;0;627;73
10;0;0;0;0;629;73
11;0;0;0;0;625;73
12;0;0;0;0;623;73
13;0;0;0;0;625;72
14;0;0;0;0;629;73
15;0;0;0;0;625;72
0;0;0;0;0;622;73
1;0;0;0;0;625;72
2;0;0;0;0;630;72
3;0;0;0;0;626;72
4;0;0;0;0;622;72
5;0;0;0;0;625;72
6;0;0;0;0;630;73
7;0;0;0;0;625;72
8;0;0;0;0;622;73
9;0;0;0;0;625;72
10;0;0;0;0;629;73
11;0;0;0;0;626;73
12;0;0;0;0;622;73
13;0;0;0;0;625;73
14;0;0;0;0;630;73
15;0;0;0;0;626;73
0;0;0;0;0;622;73
1;0;0;0;0;626;73
2;0;0;0;0;630;73
3;0;0;0;0;626;73
4;0;0;0;0;622;73
5;0;0;0;0;627;73
6;0;0;0;0;630;73
7;0;0;0;0;624;73
8;0;0;0;0;625;73
9;0;0;0;0;625;72
10;0;0;0;0;628;72
11;0;0;0;0;626;73
12;0;0;0;0;624;73
13;0;0;0;0;625;72
14;0;0;0;0;630;73
15;0;0;0;0;627;73
0;0;0;0;0;621;73
1;0;0;0;0;625;72
2;0;0;0;0;632;71
3;0;0;0;0;625;71
4;0;0;0;0;620;71
5;0;0;0;0;627;70
6;0;0;0;0;629;69
7;0;0;0;0;624;69
8;0;0;0;0;623;68
9;0;0;0;0;625;68
10;0;0;0;0;628;68
11;0;0;0;0;627;68
12;0;0;0;0;621;67
13;0;0;0;0;626;67
14;0;0;0;0;630;67
15;0;0;0;0;625;67
0;0;0;0;0;622;67
1;0;0;0;0;625;67
2;0;0;0;0;630;67
3;0;0;0;0;627;66
4;0;0;0;0;621;66
5;0;0;0;0;625;66
6;0;0;0;0;631;66
7;0;0;0;0;625;66
8;0;0;0;0;621;66
9;0;0;0;0;627;274
10;0;0;0;0;630;279
11;0;0;0;0;626;285
12;0;0;0;0;622;291
13;0;0;0;0;626;129
14;0;0;0;0;630;131
15;0;0;0;0;625;133
0;0;0;0;0;621;135
1;0;0;0;0;626;137
2;0;0;0;0;629;140
3;0;0;0;0;624;142
4;0;0;0;0;622;144
5;0;0;0;0;625;147
6;0;0;0;0;630;149
7;0;0;0;0;628;151
8;0;0;0;0;622;153
9;0;0;0;0;626;155
10;0;0;0;0;631;156
11;0;0;0;0;625;158
12;0;0;0;0;623;160
13;0;0;0;0;626;161
14;0;0;0;0;629;163
15;0;0;0;0;625;165
0;0;0;0;0;621;167
1;0;0;0;0;625;168
2;0;0;0;0;630;169
3;0;0;0;0;625;170
4;0;0;0;0;620;171
5;0;0;0;0;627;171
6;0;0;0;0;631;171
7;0;0;0;0;625;170
8;0;0;0;0;622;170
9;0;0;0;0;627;170
10;0;0;0;0;628;170
11;0;0;0;0;626;169
12;0;0;0;0;623;169
13;0;0;0;0;624;168
14;0;0;0;0;631;167
15;0;0;0;0;625;166
0;0;0;0;0;622;166
1;0;0;0;0;627;164
2;0;0;0;0;629;163
3;0;0;0;0;625;163
4;0;0;0;0;624;162
5;0;0;0;0;625;161
6;0;0;0;0;629;161
7;0;0;0;0;627;161
8;0;0;0;0;621;161
9;0;0;0;0;626;161
10;0;0;0;0;629;162
11;0;0;0;0;625;163
12;0;0;0;0;622;164
13;0;0;0;0;626;165
14;0;0;0;0;632;166
15;0;0;0;0;625;167
0;0;0;0;0;621;168
1;0;0;0;0;627;169
2;0;0;0;0;631;172
3;0;0;0;0;624;174
4;0;0;0;0;623;177
5;0;0;0;0;626;179
6;0;0;0;0;628;182
7;0;0;0;0;625;184
8;0;0;0;0;621;185
9;0;0;0;0;626;187
10;0;0;0;0;631;189
11;0;0;0;0;624;191
12;0;0;0;0;623;192
13;0;0;0;0;628;193
14;0;0;0;0;627;193
15;0;0;0;0;625;193
0;0;0;0;0;623;193
1;0;0;0;0;625;193
2;0;0;0;0;629;193
3;0;0;0;0;627;192
4;0;0;0;0;622;191
5;0;0;0;0;625;189
6;0;0;0;0;630;187
7;0;0;0;0;626;184
8;0;0;0;0;622;182
9;0;0;0;0;626;181
10;0;0;0;0;629;180
11;0;0;0;0;626;180
12;0;0;0;0;622;64
13;0;0;0;0;626;63
14;0;0;0;0;630;63
15;0;0;0;0;626;63
0;0;0;0;0;623;63
1;0;0;0;0;625;63
2;0;0;0;0;629;63
3;0;0;0;0;626;63
4;0;0;0;0;621;63
5;0;0;0;0;626;63
6;0;0;0;0;630;63
7;0;0;0;0;626;63
8;0;0;0;0;622;63
9;0;0;0;0;625;63
10;0;0;0;0;630;63
11;0;0;0;0;626;63
12;0;0;0;0;622;63
13;0;0;0;0;626;63
14;0;0;0;0;630;63
15;0;0;0;0;625;63
0;0;0;0;0;622;63
1;0;0;0;0;625;63
2;0;0;0;0;630;64
3;0;0;0;0;625;64
4;0;0;0;0;622;64
5;0;0;0;0;625;64
6;0;0;0;0;630;64
7;0;0;0;0;627;64
8;0;0;0;0;622;154
9;0;0;0;0;626;153
10;0;0;0;0;630;152
11;0;0;0;0;626;151
12;0;0;0;0;622;150
13;0;0;0;0;626;148
14;0;0;0;0;630;147
15;0;0;0;0;625;147
0;0;0;0;0;621;147
1;0;0;0;0;626;146
2;0;0;0;0;630;146
3;0;0;0;0;625;146
4;0;0;0;0;622;146
5;0;0;0;0;626;146
6;0;0;0;0;630;146
7;0;0;0;0;625;145
8;0;0;0;0;623;145
9;0;0;0;0;626;145
10;0;0;0;0;630;144
11;0;0;0;0;626;144
12;0;0;0;0;622;64
13;0;0;0;0;625;64
14;0;0;0;0;630;64
15;0;0;0;0;626;64
0;0;0;0;0;622;64
1;0;0;0;0;626;64
2;0;0;0;0;630;64
3;0;0;0;0;626;64
4;0;0;0;0;622;64
5;0;0;0;0;625;64
6;0;0;0;0;630;64
7;0;0;0;0;626;64
8;0;0;0;0;622;64
9;0;0;0;0;626;64
10;0;0;0;0;630;64
11;0;0;0;0;625;64
12;0;0;0;0;622;64
13;0;0;0;0;626;64
14;0;0;0;0;629;64
15;0;0;0;0;625;65
0;0;0;0;0;622;64
1;0;0;0;0;625;141
2;0;0;0;0;629;136
3;0;0;0;0;627;135
4;0;0;0;0;622;135
5;0;0;0;0;625;135
6;0;0;0;0;631;134
7;0;0;0;0;627;133
8;0;0;0;0;621;132
9;0;0;0;0;626;131
10;0;0;0;0;630;131
11;0;0;0;0;626;131
12;0;0;0;0;622;130
13;0;0;0;0;626;129
14;0;0;0;0;630;129
15;0;0;0;0;625;129
0;0;0;0;0;622;129
1;0;0;0;0;627;129
2;0;0;0;0;629;64
3;0;0;0;0;625;64
4;0;0;0;0;622;64
5;0;0;0;0;626;64
6;0;0;0;0;629;63
7;0;0;0;0;626;64
8;0;0;0;0;621;64
9;0;0;0;0;626;64
10;0;0;0;0;629;64
11;0;0;0;0;626;64
12;0;0;0;0;621;63
13;0;0;0;0;626;64
14;0;0;0;0;630;63
15;0;0;0;0;625;63
0;0;0;0;0;622;63
1;0;0;0;0;626;63
2;0;0;0;0;630;63
3;0;0;0;0;626;130
4;0;0;0;0;621;129
5;0;0;0;0;626;129
6;0;0;0;0;629;129
7;0;0;0;0;626;129
8;0;0;0;0;622;129
9;0;0;0;0;625;129
10;0;0;0;0;630;129
11;0;0;0;0;625;129
12;0;0;0;0;622;129
13;0;0;0;0;626;129
14;0;0;0;0;629;129
15;0;0;0;0;626;129
0;0;0;0;0;623;129
1;0;0;0;0;626;129
2;0;0;0;0;630;129
3;0;0;0;0;626;129
4;0;0;0;0;622;129
5;0;0;0;0;625;63
6;0;0;0;0;630;63
7;0;0;0;0;626;63
8;0;0;0;0;621;63
9;0;0;0;0;626;63
10;0;0;0;0;630;63
11;0;0;0;0;625;63
12;0;0;0;0;621;63
13;0;0;0;0;625;63
14;0;0;0;0;630;63
15;0;0;0;0;625;63
0;0;0;0;0;621;63
1;0;0;0;0;626;63
2;0;0;0;0;630;63
3;0;0;0;0;626;63
4;0;0;0;0;621;63
5;0;0;0;0;625;63
6;0;0;0;0;630;63
7;0;0;0;0;625;63
8;0;0;0;0;622;62
9;0;0;0;0;625;63
10;0;0;0;0;630;127
11;0;0;0;0;626;127
12;0;0;0;0;622;127
13;0;0;0;0;626;127
14;0;0;0;0;630;127
15;0;0;0;0;625;126
0;0;0;0;0;621;126
1;0;0;0;0;625;126
2;0;0;0;0;630;126
3;0;0;0;0;626;126
4;0;0;0;0;622;126
5;0;0;0;0;625;126
6;0;0;0;0;630;127
7;0;0;0;0;626;127
8;0;0;0;0;621;127
9;0;0;0;0;626;127
10;0;0;0;0;629;127
11;0;0;0;0;626;127
12;0;0;0;0;622;127
13;0;0;0;0;627;127
14;0;0;0;0;630;62
15;0;0;0;0;625;62
0;0;0;0;0;622;62
1;0;0;0;0;625;63
2;0;0;0;0;630;62
3;0;0;0;0;626;63
4;0;0;0;0;622;62
5;0;0;0;0;625;63
6;0;0;0;0;630;62
7;0;0;0;0;625;63
8;0;0;0;0;622;63
9;0;0;0;0;627;63
10;0;0;0;0;630;63
11;0;0;0;0;626;63
12;0;0;0;0;621;63
13;0;0;0;0;625;63
14;0;0;0;0;629;63
15;0;0;0;0;625;63
0;0;0;0;0;621;63
1;0;0;0;0;626;133
2;0;0;0;0;629;133
3;0;0;0;0;626;133
4;0;0;0;0;621;133
5;0;0;0;0;626;133
6;0;0;0;0;630;133
7;0;0;0;0;627;132
8;0;0;0;0;622;133
9;0;0;0;0;625;133
10;0;0;0;0;630;132
11;0;0;0;0;627;132
12;0;0;0;0;622;132
13;0;0;0;0;626;132
14;0;0;0;0;630;132
15;0;0;0;0;625;132
0;0;0;0;0;622;132
1;0;0;0;0;625;65
2;0;0;0;0;629;64
3;0;0;0;0;626;64
4;0;0;0;0;622;65
5;0;0;0;0;625;65
6;0;0;0;0;630;65
7;0;0;0;0;626;65
8;0;0;0;0;622;65
9;0;0;0;0;625;65
10;0;0;0;0;630;65
11;0;0;0;0;626;65
12;0;0;0;0;622;65
13;0;0;0;0;626;65
14;0;0;0;0;630;65
15;0;0;0;0;625;65
0;0;0;0;0;621;65
1;0;0;0;0;626;65
2;0;0;0;0;630;65
3;0;0;0;0;624;294
4;0;0;0;0;622;126
5;0;0;0;0;626;126
6;0;0;0;0;630;126
7;0;0;0;0;626;125
8;0;0;0;0;622;125
9;0;0;0;0;625;124
10;0;0;0;0;629;124
11;0;0;0;0;626;124
12;0;0;0;0;622;123
13;0;0;0;0;626;123
14;0;0;0;0;629;123
15;0;0;0;0;625;123
0;0;0;0;0;621;121
1;0;0;0;0;625;121
2;0;0;0;0;630;121
3;0;0;0;0;625;121
4;0;0;0;0;622;120
5;0;0;0;0;626;120
6;0;0;0;0;629;65
7;0;0;0;0;625;65
8;0;0;0;0;622;64
9;0;0;0;0;626;65
10;0;0;0;0;629;64
11;0;0;0;0;625;65
12;0;0;0;0;622;64
13;0;0;0;0;625;65
14;0;0;0;0;630;64
15;0;0;0;0;626;64
0;0;0;0;0;622;64
1;0;0;0;0;625;64
2;0;0;0;0;629;64
3;0;0;0;0;627;64
4;0;0;0;0;622;64
5;0;0;0;0;625;118
6;0;0;0;0;630;116
